NWD119225 SRR8004093
NWD121244 SRR8004110
NWD121660 SRR8004115
NWD117518 SRR8004082
NWD120820 SRR8004106
NWD121845 SRR8004120
NWD121119 SRR8004109
NWD121778 SRR8004119
NWD122679 SRR8004132
NWD122982 SRR8004135
NWD124544 SRR8004143
NWD132861 SRR8004218
NWD128160 SRR8004184
NWD130436 SRR8004201
NWD122038 SRR8004123
NWD125143 SRR8004152
NWD124883 SRR8004147
NWD125036 SRR8004151
NWD133333 SRR8004220
NWD125369 SRR8004157
NWD122420 SRR8004131
NWD132467 SRR8004214
NWD125182 SRR8004153
NWD134656 SRR8004233
NWD135126 SRR8004237
NWD133611 SRR8004224
NWD135146 SRR8004239
NWD138568 SRR8004257
NWD142406 SRR8004281
NWD100652 SRR8003946
NWD101153 SRR8003954
NWD101672 SRR8003956
NWD107505 SRR8004003
NWD103738 SRR8003975
NWD108023 SRR8004011
NWD104229 SRR8003983
NWD110181 SRR8004023
NWD106092 SRR8003997
NWD112579 SRR8004041
NWD111748 SRR8004035
NWD106137 SRR8003999
NWD113971 SRR8004052
NWD182836 SRR8004620
NWD182890 SRR8004621
NWD178688 SRR8004588
NWD183558 SRR8004626
NWD180440 SRR8004602
NWD183478 SRR8004625
NWD182164 SRR8004613
NWD184555 SRR8004631
NWD179246 SRR8004592
NWD185194 SRR8004636
NWD190193 SRR8004680
NWD188853 SRR8004662
NWD188823 SRR8004661
NWD193506 SRR8004705
NWD185550 SRR8004639
NWD185408 SRR8004637
NWD194489 SRR8004713
NWD201643 SRR8004769
NWD196152 SRR8004724
NWD204838 SRR8004793
NWD202829 SRR8004775
NWD208847 SRR8004817
NWD199451 SRR8004751
NWD194445 SRR8004712
NWD209430 SRR8004824
NWD208876 SRR8004818
NWD211323 SRR8004838
NWD211837 SRR8004846
NWD218502 SRR8004894
NWD219167 SRR8004897
NWD212490 SRR8004850
NWD223789 SRR8004939
NWD215378 SRR8004871
NWD224677 SRR8004950
NWD223528 SRR8004938
NWD224716 SRR8004951
NWD214621 SRR8004867
NWD222372 SRR8004926
NWD226192 SRR8004969
NWD226631 SRR8004973
NWD234085 SRR8005028
NWD232237 SRR8005015
NWD228281 SRR8004986
NWD228842 SRR8004991
NWD226756 SRR8004976
NWD102699 SRR8003962
NWD102599 SRR8003961
NWD104204 SRR8003982
NWD102729 SRR8003963
NWD102758 SRR8003964
NWD104086 SRR8003981
NWD110074 SRR8004022
NWD110852 SRR8004027
NWD768817 SRR8009324
NWD785434 SRR8009451
NWD766989 SRR8009306
NWD817819 SRR8009732
NWD816859 SRR8009724
NWD778905 SRR8009393
NWD767578 SRR8009312
NWD811513 SRR8009668
NWD825755 SRR8009784
NWD806842 SRR8009628
NWD816230 SRR8009715
NWD838603 SRR8009893
NWD834734 SRR8009856
NWD827657 SRR8009793
NWD836025 SRR8009870
NWD851749 SRR8010020
NWD854128 SRR8010034
