nwid,filename
NWD903455,8490981045_R07C01.gtc.txt
NWD939142,7778691028_R04C01.gtc.txt
NWD411070,7731172146_R04C01.gtc.txt
NWD737807,7802989034_R02C01.gtc.txt
NWD415218,8478359109_R02C01.gtc.txt
NWD774504,8478359108_R05C01.gtc.txt
NWD437285,7778704019_R06C01.gtc.txt
NWD683476,8391288046_R03C01.gtc.txt
NWD635893,7802997179_R01C01.gtc.txt
NWD248118,7778704088_R03C01.gtc.txt
NWD875246,7778721005_R03C01.gtc.txt
NWD442109,8391288148_R08C01.gtc.txt
NWD283915,8490981062_R03C01.gtc.txt
NWD420646,7731172126_R08C01.gtc.txt
NWD623961,7775626009_R01C01.gtc.txt
NWD611951,8478359149_R05C01.gtc.txt
NWD329979,7778691144_R04C01.gtc.txt
NWD375312,8494893023_R01C01.gtc.txt
NWD454907,7778721021_R04C01.gtc.txt
NWD869048,7775626007_R04C01.gtc.txt
NWD260565,8478359117_R05C01.gtc.txt
NWD822229,7802997190_R07C01.gtc.txt
NWD109454,7800254021_R04C01.gtc.txt
NWD557301,8391270050_R07C01.gtc.txt
NWD965882,7778691121_R05C01.gtc.txt
NWD746399,8391261063_R07C01.gtc.txt
NWD698363,7778691077_R05C01.gtc.txt
NWD814652,7815181002_R05C01.gtc.txt
NWD542451,8391288007_R04C01.gtc.txt
NWD602057,7778691121_R03C01.gtc.txt
NWD666985,8494893147_R04C01.gtc.txt
NWD830239,7822752001_R05C01.gtc.txt
NWD198383,8391261019_R07C01.gtc.txt
NWD260150,7731172001_R03C01.gtc.txt
NWD941466,8391288077_R04C01.gtc.txt
NWD396721,8391296060_R05C01.gtc.txt
NWD175226,8490981114_R04C01.gtc.txt
NWD802609,7778691095_R08C01.gtc.txt
NWD722101,8478359009_R04C01.gtc.txt
NWD915395,8478359002_R03C01.gtc.txt
NWD254240,7778704077_R02C01.gtc.txt
NWD299964,8490981002_R07C01.gtc.txt
NWD118840,7802997121_R05C01.gtc.txt
NWD428956,8478359070_R02C01.gtc.txt
NWD599149,7802989092_R03C01.gtc.txt
NWD658313,8391261078_R04C01.gtc.txt
NWD936788,8391296006_R04C01.gtc.txt
NWD790330,7800254130_R01C01.gtc.txt
NWD259753,8391309002_R08C01.gtc.txt
NWD339951,7802997178_R05C01.gtc.txt
NWD498199,8391288077_R02C01.gtc.txt
NWD627594,7802997117_R07C01.gtc.txt
NWD339737,8391288099_R03C01.gtc.txt
NWD608601,7800254012_R02C01.gtc.txt
NWD397944,7778691003_R02C01.gtc.txt
NWD574936,8391261150_R02C01.gtc.txt
NWD511171,8391270030_R08C01.gtc.txt
NWD684043,7802997051_R02C01.gtc.txt
NWD670772,8490981128_R07C01.gtc.txt
NWD257829,8391270104_R05C01.gtc.txt
NWD241476,8478359002_R01C01.gtc.txt
NWD548934,8478359068_R05C01.gtc.txt
NWD564759,8478359169_R03C01.gtc.txt
NWD154075,8391296095_R03C01.gtc.txt
NWD110364,7731172106_R05C01.gtc.txt
NWD747840,7778712074_R02C01.gtc.txt
NWD576363,8391288139_R04C01.gtc.txt
NWD221131,8391296048_R01C01.gtc.txt
NWD625972,8490981014_R07C01.gtc.txt
NWD605421,7802989094_R02C01.gtc.txt
NWD530345,8478359022_R01C01.gtc.txt
NWD710454,8391288045_R05C01.gtc.txt
NWD898731,8391309013_R07C01.gtc.txt
NWD228718,8494893080_R08C01.gtc.txt
NWD473856,8391309006_R01C01.gtc.txt
NWD885096,8391270041_R05C01.gtc.txt
NWD619992,8478359042_R03C01.gtc.txt
NWD282216,8391296146_R03C01.gtc.txt
NWD179440,8490981104_R04C01.gtc.txt
NWD521265,8391270096_R07C01.gtc.txt
NWD520673,8478359040_R08C01.gtc.txt
NWD135806,7778704157_R01C01.gtc.txt
NWD110781,8391270041_R01C01.gtc.txt
NWD296386,8478359010_R03C01.gtc.txt
NWD167995,8391296079_R06C01.gtc.txt
NWD681731,8391270030_R07C01.gtc.txt
NWD703262,7802989023_R04C01.gtc.txt
NWD783415,7778691039_R07C01.gtc.txt
NWD238498,7802997115_R08C01.gtc.txt
NWD368317,7802989072_R07C01.gtc.txt
NWD743166,8494893036_R07C01.gtc.txt
NWD867432,8391270145_R04C01.gtc.txt
NWD148658,8478359191_R07C01.gtc.txt
NWD473509,7778721139_R02C01.gtc.txt
NWD861846,7800254098_R01C01.gtc.txt
NWD411084,7778721139_R04C01.gtc.txt
NWD677453,8478359210_R03C01.gtc.txt
NWD702845,7778691046_R01C01.gtc.txt
NWD151995,7731172156_R07C01.gtc.txt
NWD830673,7731172074_R01C01.gtc.txt
NWD457812,7815181100_R05C01.gtc.txt
NWD582993,8391296077_R01C01.gtc.txt
NWD837589,7778721119_R07C01.gtc.txt
NWD216337,7802989023_R02C01.gtc.txt
NWD132768,7778691050_R05C01.gtc.txt
NWD174165,7778704088_R08C01.gtc.txt
NWD409320,8490981087_R08C01.gtc.txt
NWD648102,8391270127_R02C01.gtc.txt
NWD292505,7802989086_R04C01.gtc.txt
NWD287794,7778704001_R05C01.gtc.txt
NWD950884,7822728001_R04C01.gtc.txt
NWD358821,8391296003_R07C01.gtc.txt
NWD773527,8478359005_R07C01.gtc.txt
NWD217698,8391309040_R04C01.gtc.txt
NWD572578,8490981131_R04C01.gtc.txt
NWD656947,8391309009_R03C01.gtc.txt
NWD878691,8490981007_R07C01.gtc.txt
NWD339884,8478359037_R02C01.gtc.txt
NWD926124,8391270121_R06C01.gtc.txt
NWD694190,8490981126_R07C01.gtc.txt
NWD482373,7802989085_R06C01.gtc.txt
NWD155120,7778691035_R08C01.gtc.txt
NWD823346,7778691075_R08C01.gtc.txt
NWD905104,7731172064_R03C01.gtc.txt
NWD584052,7778704157_R04C01.gtc.txt
NWD354654,8391261003_R05C01.gtc.txt
NWD575892,7778691111_R03C01.gtc.txt
NWD815291,7778721009_R01C01.gtc.txt
NWD564835,7800254021_R03C01.gtc.txt
NWD724805,7778704041_R02C01.gtc.txt
NWD100234,8391245113_R03C01.gtc.txt
NWD150560,8391296069_R02C01.gtc.txt
NWD511757,8478359139_R01C01.gtc.txt
NWD900726,7778691055_R08C01.gtc.txt
NWD348472,8391296075_R07C01.gtc.txt
NWD373136,7802997121_R08C01.gtc.txt
NWD492701,7802989037_R07C01.gtc.txt
NWD363235,8391296129_R06C01.gtc.txt
NWD898755,7778712010_R05C01.gtc.txt
NWD684401,8490981047_R04C01.gtc.txt
NWD203686,8391261095_R08C01.gtc.txt
NWD788170,7778712010_R04C01.gtc.txt
NWD505087,7778691167_R07C01.gtc.txt
NWD821971,7778704147_R03C01.gtc.txt
NWD790937,8391270163_R05C01.gtc.txt
NWD833000,8391270096_R08C01.gtc.txt
NWD632084,7822752001_R04C01.gtc.txt
NWD473501,7815181175_R06C01.gtc.txt
NWD480227,7802997145_R07C01.gtc.txt
NWD449409,7802997177_R08C01.gtc.txt
NWD706752,7731172145_R08C01.gtc.txt
NWD137972,8391270049_R03C01.gtc.txt
NWD438733,7731172024_R02C01.gtc.txt
NWD103364,7778712021_R07C01.gtc.txt
NWD437184,8478359169_R06C01.gtc.txt
NWD201731,7802989094_R07C01.gtc.txt
NWD776448,7778691021_R07C01.gtc.txt
NWD275698,7778691044_R06C01.gtc.txt
NWD606977,8490981080_R04C01.gtc.txt
NWD134051,8494893018_R04C01.gtc.txt
NWD657875,7778704072_R08C01.gtc.txt
NWD621447,7778691029_R05C01.gtc.txt
NWD340388,8478359027_R01C01.gtc.txt
NWD376006,7778704008_R01C01.gtc.txt
NWD599561,8478359067_R06C01.gtc.txt
NWD323646,8478359055_R06C01.gtc.txt
NWD359497,7778704092_R08C01.gtc.txt
NWD695327,8391261078_R01C01.gtc.txt
NWD711827,7778691027_R08C01.gtc.txt
NWD611347,8478359004_R02C01.gtc.txt
NWD153294,8391288035_R05C01.gtc.txt
NWD533993,8490981102_R02C01.gtc.txt
NWD698084,8391288040_R05C01.gtc.txt
NWD904591,8478359013_R08C01.gtc.txt
NWD533997,8391245118_R01C01.gtc.txt
NWD325737,8494893162_R03C01.gtc.txt
NWD420248,8478359108_R01C01.gtc.txt
NWD206874,8490981069_R07C01.gtc.txt
NWD726557,7778704001_R01C01.gtc.txt
NWD448055,7778691028_R05C01.gtc.txt
NWD506037,8391253009_R08C01.gtc.txt
NWD135619,7731172078_R05C01.gtc.txt
NWD459674,8490981101_R05C01.gtc.txt
NWD143708,7731172024_R08C01.gtc.txt
NWD500491,8478359131_R04C01.gtc.txt
NWD176074,8490981009_R04C01.gtc.txt
NWD374097,8391288016_R05C01.gtc.txt
NWD259839,7778691064_R07C01.gtc.txt
NWD927596,8391253139_R07C01.gtc.txt
NWD305244,8478359042_R05C01.gtc.txt
NWD148146,8391296016_R06C01.gtc.txt
NWD235479,7731172106_R07C01.gtc.txt
NWD974787,8490981067_R04C01.gtc.txt
NWD904046,8490981131_R02C01.gtc.txt
NWD793378,8494893031_R01C01.gtc.txt
NWD163611,8391296075_R08C01.gtc.txt
NWD118479,7802997190_R01C01.gtc.txt
NWD266767,7778691021_R05C01.gtc.txt
NWD484799,8391296099_R06C01.gtc.txt
NWD445555,8391261135_R07C01.gtc.txt
NWD992191,8391245124_R07C01.gtc.txt
NWD194265,8391288156_R02C01.gtc.txt
NWD291641,7778691034_R06C01.gtc.txt
NWD602797,7802997044_R01C01.gtc.txt
NWD704724,7802997110_R06C01.gtc.txt
NWD529450,7800254082_R04C01.gtc.txt
NWD864538,8391270081_R05C01.gtc.txt
NWD827621,8391309012_R02C01.gtc.txt
NWD661868,7731172064_R05C01.gtc.txt
NWD176388,7778712034_R06C01.gtc.txt
NWD467308,8391296139_R04C01.gtc.txt
NWD337857,7731172078_R08C01.gtc.txt
NWD643425,8391270121_R02C01.gtc.txt
NWD554167,8478359109_R06C01.gtc.txt
NWD575388,8391309017_R05C01.gtc.txt
NWD925087,7822728005_R08C01.gtc.txt
NWD640654,8391253094_R04C01.gtc.txt
NWD495151,8478359040_R06C01.gtc.txt
NWD599037,8478359112_R01C01.gtc.txt
NWD182983,7802997179_R02C01.gtc.txt
NWD820119,7778704056_R07C01.gtc.txt
NWD998944,8490981085_R05C01.gtc.txt
NWD267178,8391261036_R05C01.gtc.txt
NWD733606,7815181001_R01C01.gtc.txt
NWD630278,8490981119_R04C01.gtc.txt
NWD457392,8391309003_R06C01.gtc.txt
NWD673836,8391296161_R07C01.gtc.txt
NWD619893,7800254098_R04C01.gtc.txt
NWD851220,8478359200_R08C01.gtc.txt
NWD388333,8391270056_R01C01.gtc.txt
NWD720811,8391296120_R02C01.gtc.txt
NWD251622,7731172206_R03C01.gtc.txt
NWD697296,7778704080_R02C01.gtc.txt
NWD585069,7778704028_R03C01.gtc.txt
NWD884596,8494893041_R01C01.gtc.txt
NWD212348,7778704081_R03C01.gtc.txt
NWD578306,7778691029_R04C01.gtc.txt
NWD651883,7778704013_R01C01.gtc.txt
NWD465828,8391245118_R03C01.gtc.txt
NWD407475,8391288112_R02C01.gtc.txt
NWD649385,7778704029_R01C01.gtc.txt
NWD808410,7731172092_R07C01.gtc.txt
NWD480677,7731172031_R01C01.gtc.txt
NWD258676,8391296069_R08C01.gtc.txt
NWD251121,8490981057_R08C01.gtc.txt
NWD103259,8478359160_R04C01.gtc.txt
NWD285799,8391270003_R04C01.gtc.txt
NWD971428,8391288099_R01C01.gtc.txt
NWD437189,8391296166_R03C01.gtc.txt
NWD118398,8391245074_R02C01.gtc.txt
NWD759185,8391296135_R08C01.gtc.txt
NWD634937,8478359006_R04C01.gtc.txt
NWD927857,8478359056_R05C01.gtc.txt
NWD124710,7778691048_R01C01.gtc.txt
NWD318080,8391270168_R03C01.gtc.txt
NWD182949,8391288019_R04C01.gtc.txt
NWD880333,8391296166_R08C01.gtc.txt
NWD325704,7778691041_R02C01.gtc.txt
NWD315240,8391309040_R05C01.gtc.txt
NWD539972,8391245067_R03C01.gtc.txt
NWD348261,8391288166_R04C01.gtc.txt
NWD413009,8391288156_R04C01.gtc.txt
NWD685526,8391270163_R02C01.gtc.txt
NWD438090,7778691044_R08C01.gtc.txt
NWD743596,7778704035_R01C01.gtc.txt
NWD180327,8490981111_R03C01.gtc.txt
NWD759025,7822736003_R06C01.gtc.txt
NWD476622,8391296025_R03C01.gtc.txt
NWD396732,8391253075_R07C01.gtc.txt
NWD782252,8391261047_R04C01.gtc.txt
NWD921478,7802989090_R08C01.gtc.txt
NWD817725,7778704034_R07C01.gtc.txt
NWD158426,7778691035_R07C01.gtc.txt
NWD499572,8391296057_R07C01.gtc.txt
NWD314687,8391296153_R06C01.gtc.txt
NWD138232,8391296025_R07C01.gtc.txt
NWD724442,8391288146_R07C01.gtc.txt
